Gene stable ID	Gene Name	GenBank ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
FBgn0015380	drl	CZ486769	44355	44355	protein_coding
FBgn0010356	Taf5	BZ748850	47900	47900	protein_coding
FBgn0266023	lncRNA:CR44788		19835763	19835763	lncRNA
FBgn0250732	gfzf	AW943014	40858	40858	protein_coding
FBgn0034710	Alp7	AI296842	37538	37538	protein_coding
FBgn0033672	rho-7	AX153652	36281	36281	protein_coding
FBgn0266027	asRNA:TS15		19835285	19835285	lncRNA
FBgn0263488	snmRNA:CR43603		12798362	12798362	sncRNA
FBgn0264879	lncRNA:CR44070		14462571	14462571	lncRNA
FBgn0263049	lncRNA:let7C		12798010	12798010	lncRNA
FBgn0264618	lncRNA:CR43958		14462356	14462356	lncRNA
FBgn0261786	mi	AW943765	37723	37723	protein_coding
FBgn0034138	RpS15	AY070991	36851	36851	protein_coding
FBgn0036451	Helz	AW943213	39613	39613	protein_coding
FBgn0286036	sisRNA:CR46358		39877400	39877400	lncRNA
FBgn0031250	Ent1	AF217396	33207	33207	protein_coding
FBgn0037409	Osi24	AY119131	40755	40755	protein_coding
FBgn0027948	msps	AI947030	41952	41952	protein_coding
FBgn0038675	CG6013	CZ480541	42286	42286	protein_coding
FBgn0034315	CG5721	AW944423	37084	37084	protein_coding
FBgn0264900	lncRNA:CR44091		14462531	14462531	lncRNA
FBgn0000500	Dsk	CZ486406	45845	45845	protein_coding
FBgn0032878	CG9316	AY089368	35333	35333	protein_coding
FBgn0259184	CG42288	CO191521	36559	36559	protein_coding
FBgn0030319	CG2533	BF491921	32110	32110	protein_coding
FBgn0029878	Pat1	AW940391	31593	31593	protein_coding
FBgn0026324	Taf10b	BH840437	33468	33468	protein_coding
FBgn0031255	BBS8		33217	33217	protein_coding
FBgn0266224	lncRNA:CR44919		19835223	19835223	lncRNA
FBgn0000566	Eip55E	AY089545	37143	37143	protein_coding
FBgn0053878	His2B:CG33878		3771957	3771957	protein_coding
FBgn0030665	CG15646		32501	32501	protein_coding
FBgn0036597	CG4962	BI243216	39793	39793	protein_coding
FBgn0033019	CG10395	AY061289	35490	35490	protein_coding
FBgn0035687	Prdm13		38713	38713	protein_coding
FBgn0267986	lncRNA:CR46253		26067563	26067563	lncRNA
FBgn0260986	mei-38	AA816545	31104	31104	protein_coding
FBgn0035921	CG13305	AY113451	38992	38992	protein_coding
FBgn0262960	CG43271		12798001	12798001	protein_coding
FBgn0003448	sna	BT010255	34908	34908	protein_coding
FBgn0040747	CG12853	AI946569	50220	50220	protein_coding
FBgn0036211	CG5946	AI134689	39336	39336	protein_coding
FBgn0036090	CG8009	AA439567	39204	39204	protein_coding
FBgn0020307	dve	BI164075	37546	37546	protein_coding
FBgn0031268	cold	CZ488208	33237	33237	protein_coding
FBgn0027495	Smyd4-4	BZ286358	36299	36299	protein_coding
FBgn0261504	7SLRNA:CR42652		10178925	10178925	sncRNA
FBgn0003378	Sgs8	M14650	39285	39285	protein_coding
FBgn0037610	CG8043	AI238122	41030	41030	protein_coding
FBgn0032294	Vha16-5		34482	34482	protein_coding
FBgn0036882	CG9279	AW941728	40124	40124	protein_coding
FBgn0037120	CG11247	AW944241	40414	40414	protein_coding
FBgn0263092	CR43360				pseudogene
FBgn0262111	f	D17528	32718	32718	protein_coding
FBgn0263855	BubR1	AA820408	35522	35522	protein_coding
FBgn0050088	CG30088		246447	246447	protein_coding
FBgn0033247	Nup44A	AQ072925	35762	35762	protein_coding
FBgn0262413	mir-9b		12798246	12798246	sncRNA
FBgn0267636	asRNA:CR45974		26067301	26067301	lncRNA
FBgn0053489	CG33489	BT001271	2768971	2768971	protein_coding
FBgn0031127	CG1835	AY119544	33057	33057	protein_coding
FBgn0262896	CG43251		12798428	12798428	protein_coding
FBgn0053914	CG33914		3772464	3772464	protein_coding
FBgn0028858	CG10839	DQ138752	34944	34944	protein_coding
FBgn0263802	lncRNA:CR43605		12798401	12798401	lncRNA
FBgn0267522	28SrRNA-Psi:CR45862				pseudogene
FBgn0053095	CG33095	BT001868	43012	43012	protein_coding
FBgn0267590	asRNA:CR45928		26067256	26067256	lncRNA
FBgn0033490	CG12917	BE662037	36065	36065	protein_coding
FBgn0038070	CG6753	BI591866	41557	41557	protein_coding
FBgn0085294	CG34265		5740186	5740186	protein_coding
FBgn0267571	lncRNA:CR45911		26067239	26067239	lncRNA
FBgn0031733	CG14006		33802	33802	protein_coding
FBgn0030912	CG6023	AI518540	32814	32814	protein_coding
FBgn0032416	Gr33a	AX058721	34641	34641	protein_coding
FBgn0031139	CG11227	BF506504	33071	33071	protein_coding
FBgn0261859	CG42788	CZ481320	41817	41817	protein_coding
FBgn0034081	CG10731	AI404947	3772305	3772305	protein_coding
FBgn0262389	mir-1017		12798527	12798527	sncRNA
FBgn0037363	Atg17	AI257436	40700	40700	protein_coding
FBgn0267581	lncRNA:CR45921		26067249	26067249	lncRNA
FBgn0053848	His3:CG33848		318847	318847	protein_coding
FBgn0032929	Mcm10	AY061477	35390	35390	protein_coding
FBgn0042199	CG13713		59233	59233	protein_coding
FBgn0039552	CG12426		43342	43342	protein_coding
FBgn0024179	wit	CZ479052	44096	44096	protein_coding
FBgn0267797	lncRNA:CR46122		26067438	26067438	lncRNA
FBgn0053680	CG33680		3771724	3771724	protein_coding
FBgn0283471	wupA	Z32175	32794	32794	protein_coding
FBgn0034785	CG3649		37626	37626	protein_coding
FBgn0039732	CG15525	BI640401	43556	43556	protein_coding
FBgn0038224	ATPsynE	AF069530	41745	41745	protein_coding
FBgn0040393	CG14265	AY113473	31297	31297	protein_coding
FBgn0264776	CG44014		41893	41893	protein_coding
FBgn0083053	snoRNA:Psi18S-1347b	AJ629272	5740220	5740220	sncRNA
FBgn0025643	CG3588	AF495953	31278	31278	protein_coding
FBgn0265049	lncRNA:CR44164		14462550	14462550	lncRNA
FBgn0038525	CG14329	BI164192	42116	42116	protein_coding
FBgn0262397	mir-2c		12798412	12798412	sncRNA
FBgn0020906	Jon25Bi	AY070901	33708	33708	protein_coding
FBgn0086078	snoRNA:Me28S-A774b	AJ784360	5740343	5740343	sncRNA
FBgn0035510	Cpr64Aa	AY070633	38508	38508	protein_coding
FBgn0034366	Atg7	AY084144	37141	37141	protein_coding
FBgn0036935	CG14186	AW940463	40196	40196	protein_coding
FBgn0034880	ItgaPS5		37732	37732	protein_coding
FBgn0265650	lncRNA:CR44457		19834972	19834972	lncRNA
FBgn0265982	lncRNA:CR44761		19834852	19834852	lncRNA
FBgn0034470	Obp56d	AY113425	37266	37266	protein_coding
FBgn0000056	Adhr	AF201423	3772432	3772432	protein_coding
FBgn0262899	CG43254		12798054	12798054	protein_coding
FBgn0261436	DhpD	BI167779	40528	40528	protein_coding
FBgn0265805	lncRNA:CR44594		19834870	19834870	lncRNA
FBgn0034666	CG9294		37491	37491	protein_coding
FBgn0033869	Cpr50Cb	AW940798	36525	36525	protein_coding
FBgn0266929	lncRNA:CR45380		19835806	19835806	lncRNA
FBgn0031238	CG3645	AY051946	33190	33190	protein_coding
FBgn0266215	asRNA:CR44910		19835074	19835074	lncRNA
FBgn0037151	CG7130		40450	40450	protein_coding
FBgn0031462	CG2964	AI945182	33475	33475	protein_coding
FBgn0036242	CG6793		39369	39369	protein_coding
FBgn0032744	Ttc19	CZ487785	35172	35172	protein_coding
FBgn0033192	Corin		35691	35691	protein_coding
FBgn0010314	Cks30A	AC092492	34250	34250	protein_coding
FBgn0262378	mir-317		12798084	12798084	sncRNA
FBgn0038814	CG15923	AI543593	42443	42443	protein_coding
FBgn0259918	inaF-B		8674114	8674114	protein_coding
FBgn0033594	CG13226		36184	36184	protein_coding
FBgn0027496	epsilonCOP	AQ074039	33908	33908	protein_coding
FBgn0263503	lncRNA:CR43492		12798153	12798153	lncRNA
FBgn0267081	asRNA:CR45525		19835958	19835958	lncRNA
FBgn0030616	RpL37a		32446	32446	protein_coding
FBgn0265575	yin	AY058467	31340	31340	protein_coding
FBgn0286871	lncRNA:CR46393				lncRNA
FBgn0058298	CG40298	AABU01002770	3355149	3355149	protein_coding
FBgn0267809	asRNA:CR46134		26067450	26067450	lncRNA
FBgn0001987	Gli	AQ073729	34927	34927	protein_coding
FBgn0267072	lncRNA:CR45516		19835704	19835704	lncRNA
FBgn0052160	lncRNA:CR32160	AY075541	12797918	12797918	lncRNA
FBgn0038279	Sdr	AA439220	41809	41809	protein_coding
FBgn0031306	CG4577	BI228127	33291	33291	protein_coding
FBgn0033703	CG13170		36325	36325	protein_coding
FBgn0086037	snoRNA:Me28S-A2958	AJ784394	5740327	5740327	sncRNA
FBgn0035949	CG13314		39030	39030	protein_coding
FBgn0260469	CR14578	AABU01002740			pseudogene
FBgn0037625	CG11768	CL527892	41046	41046	protein_coding
FBgn0025807	Rad9	AW942112	40054	40054	protein_coding
FBgn0264501	lncRNA:CR43900		14462580	14462580	lncRNA
FBgn0028421	Kap3	BT010070	32071	32071	protein_coding
FBgn0001108	DCTN1-p150	J02932	39536	39536	protein_coding
FBgn0011741	Arp6	AI515295	32514	32514	protein_coding
FBgn0053093	CG33093		42654	42654	protein_coding
FBgn0032169	CG4709	AY058650	34324	34324	protein_coding
FBgn0263647	CG43638		14462851	14462851	protein_coding
FBgn0035642	CG18586		38659	38659	protein_coding
FBgn0265755	lncRNA:CR44562		19835732	19835732	lncRNA
FBgn0033140	CG12836		35630	35630	protein_coding
FBgn0014032	Sptr	AI401939	31781	31781	protein_coding
FBgn0030716	CG9170	BI590496	32563	32563	protein_coding
FBgn0028663	VhaM9.7-b	BH615107	40389	40389	protein_coding
FBgn0030623	PPYR1	AY118699	32453	32453	protein_coding
FBgn0027574	CG5815	AF145640	43266	43266	protein_coding
FBgn0000546	EcR	BZ286306	35540	35540	protein_coding
FBgn0045852	ham	CZ483172	35135	35135	protein_coding
FBgn0002930	nec	AI402196	45908	45908	protein_coding
FBgn0260746	Ect3	AW941983	41457	41457	protein_coding
FBgn0037930	CG14715	AA697180	41403	41403	protein_coding
FBgn0053552	CG33552		3346220	3346220	protein_coding
FBgn0038709	CG15025	AY075258	42328	42328	protein_coding
FBgn0052185	edin		317900	317900	protein_coding
FBgn0050277	Oatp58Da		37543	37543	protein_coding
FBgn0027095	Manf	AF132912	41983	41983	protein_coding
FBgn0031231	mRpL10	AY060877	33182	33182	protein_coding
FBgn0028645	beat-Ib	CZ478669	34939	34939	protein_coding
FBgn0034459	TTLL6A	AY089393	37253	37253	protein_coding
FBgn0032363	Dlg5	AW943143	34573	34573	protein_coding
FBgn0031875	CG3430	AY069585	33976	33976	protein_coding
FBgn0036207	CG10907	AY070988	39331	39331	protein_coding
FBgn0052438	SMC5	AW941272	326215	326215	protein_coding
FBgn0267292	lncRNA:CR45728		19836189	19836189	lncRNA
FBgn0052189	CG32189	AY075485	317901	317901	protein_coding
FBgn0030385	Ir11a		32189	32189	protein_coding
FBgn0046793	CG32236	AI946560	249170	249170	protein_coding
FBgn0036428	Gbs-70E	AY095086	39588	39588	protein_coding
FBgn0034631	TAF1C-like	AW943546	37450	37450	protein_coding
FBgn0265694	lncRNA:CR44501		19835429	19835429	lncRNA
FBgn0265810	asRNA:CR44599		19835574	19835574	lncRNA
FBgn0032067	LManIV		34204	34204	protein_coding
FBgn0051450	mRpS18A	BG636341	326141	326141	protein_coding
FBgn0263035	CG43330		12798460	12798460	protein_coding
FBgn0028979	tio	CZ487092	44272	44272	protein_coding
FBgn0034392	MFS15	BT010253	37168	37168	protein_coding
FBgn0032030	Wdr82	CL528139	34153	34153	protein_coding
FBgn0032626	CG12620		35034	35034	protein_coding
FBgn0052570	TwdlY		318093	318093	protein_coding
FBgn0038774	CG5023	BI241845	42400	42400	protein_coding
FBgn0266824	lncRNA:CR45286		19835788	19835788	lncRNA
FBgn0050291	CG30291	AI388669	246534	246534	protein_coding
FBgn0025638	Roc1a	BI640832	31014	31014	protein_coding
FBgn0037794	CG6254	AW943805	41244	41244	protein_coding
FBgn0039229	Saf-B	AI259589	42958	42958	protein_coding
FBgn0065064	snoRNA:Psi28S-291	AJ544027	3772053	3772053	sncRNA
FBgn0017482	T3dh	AY060914	37551	37551	protein_coding
FBgn0031675	CG9121		33732	33732	protein_coding
FBgn0266304	asRNA:CR44969		19835409	19835409	lncRNA
FBgn0264502	CG43901	AI513516	32024	32024	protein_coding
FBgn0032348	CG4751	AI512758	34551	34551	protein_coding
FBgn0032973	CG6675	AI293607	35439	35439	protein_coding
FBgn0013772	Cyp6a8	AF387659	36666	36666	protein_coding
FBgn0015286	Rala	CZ476521	31332	31332	protein_coding
FBgn0031410	CG17237	AY113260	33411	33411	protein_coding
FBgn0051643	CG31643	AA951625	318867	318867	protein_coding
FBgn0035142	Hipk	AY058785	38070	38070	protein_coding
FBgn0022724	Taf8	BI482629	32792	32792	protein_coding
FBgn0262027	CR42838				pseudogene
FBgn0038737	CG11447	BI364757	42359	42359	protein_coding
FBgn0262431	mir-1003		12798529	12798529	sncRNA
FBgn0035012	CG13590		37907	37907	protein_coding
FBgn0065107	snmRNA:128	AJ544044	3771829	3771829	sncRNA
FBgn0262418	mir-6-3	AJ421766	12798351	12798351	sncRNA
FBgn0034826	CG13544	AY075246	37673	37673	protein_coding
FBgn0261631	CG42714		10178862	10178862	protein_coding
FBgn0266896	lncRNA:CR45356		19836218	19836218	lncRNA
FBgn0267043	CG45487		19834759	19834759	protein_coding
FBgn0262787	CG43168		12798364	12798364	protein_coding
FBgn0036004	Jarid2	CL706560	39103	39103	protein_coding
FBgn0037399	Or83c		40744	40744	protein_coding
FBgn0025454	Cyp6g1	AY081960	36316	36316	protein_coding
FBgn0263530	mir-4917		12797976	12797976	sncRNA
FBgn0032040	CG13386		34165	34165	protein_coding
FBgn0034000	CG11808	AY069065	36687	36687	protein_coding
FBgn0023529	CG2918	AY094705	31215	31215	protein_coding
FBgn0265688	lncRNA:CR44495		19835604	19835604	lncRNA
FBgn0036031	CG6761	AW940247	39134	39134	protein_coding
FBgn0266222	lncRNA:CR44917		19835662	19835662	lncRNA
FBgn0267890	CR46178				pseudogene
FBgn0033875	CG6357	AA696521	36532	36532	protein_coding
FBgn0039291	CG13663		43029	43029	protein_coding
FBgn0266858	lncRNA:CR45319		19835370	19835370	lncRNA
FBgn0032800	CG10137	CZ487085	35241	35241	protein_coding
FBgn0032084	CG13101	AW941624	34221	34221	protein_coding
FBgn0037547	CG7910	BF505475	40956	40956	protein_coding
FBgn0038966	pinta	BT005203	42635	42635	protein_coding
FBgn0031454	HemK2	AI135427	3771966	3771966	protein_coding
FBgn0053730	snmRNA:430d		3772647	3772647	sncRNA
FBgn0036255	Atg12		39383	39383	protein_coding
FBgn0086603	snoRNA:Or-CD2	AJ544006	3772238	3772238	sncRNA
FBgn0264815	Pde1c	CZ484917	34594	34594	protein_coding
FBgn0037690	Task7	AJ920331	41125	41125	protein_coding
FBgn0262572	CG43112		12798405	12798405	protein_coding
FBgn0259145	CG42260	CZ482532	37614	37614	protein_coding
FBgn0034540	Lrt		37342	37342	protein_coding
FBgn0033191	CG1598	AY070974	35690	35690	protein_coding
FBgn0033555	RpS15Ab	AA392609	36142	36142	protein_coding
FBgn0266778	lncRNA:CR45243		19835159	19835159	lncRNA
FBgn0036266	Tsen54	CZ480503	39397	39397	protein_coding
FBgn0262200	mir-962		12798566	12798566	sncRNA
FBgn0264868	lncRNA:CR44059		14462696	14462696	lncRNA
FBgn0025630	Rtca	AW944448	31175	31175	protein_coding
FBgn0035708	axed	BF487148	38741	38741	protein_coding
FBgn0259226	CG42326	BT003502	35838	35838	protein_coding
FBgn0023388	Dap160	AY069517	35378	35378	protein_coding
FBgn0024806	DIP2	BH854503	252479	252479	protein_coding
FBgn0050419	CG30419	BI168192	37879	37879	protein_coding
FBgn0036327	CG10748	AY075238	39469	39469	protein_coding
FBgn0029958	Pdp	AA803792	31683	31683	protein_coding
FBgn0003386	Shaw	AC092240	33599	33599	protein_coding
FBgn0039914	mav	BI485681	43804	43804	protein_coding
FBgn0085482	CG34453		5740693	5740693	protein_coding
FBgn0260442	rhea	AY052129	38978	38978	protein_coding
FBgn0087011	CG41520	BT021306	5740294	5740294	protein_coding
FBgn0030016	Or7a		31750	31750	protein_coding
FBgn0264952	lncRNA:CR44121		14462724	14462724	lncRNA
FBgn0265047	FDY	KR781487	8674077	8674077	protein_coding
FBgn0038783	CG4367	AY118980	42409	42409	protein_coding
FBgn0034093	CG15706	BI240188	36799	36799	protein_coding
FBgn0283503	Neurl4		39558	39558	protein_coding
FBgn0034937	fzr2	AW941830	37808	37808	protein_coding
FBgn0035934	TrpA1	AY302598	39015	39015	protein_coding
FBgn0036170	CG11714	AI113605	3772566	3772566	protein_coding
FBgn0264503	CG43902		31948	31948	protein_coding
FBgn0025809	Paf-AHalpha	AW942090	32529	32529	protein_coding
FBgn0035756	unc-13-4A	BI625019	38801	38801	protein_coding
FBgn0266868	lncRNA:CR45329		19835964	19835964	lncRNA
FBgn0036990	mRpL15	AW941152	40261	40261	protein_coding
FBgn0038055	trus	AY394284	41540	41540	protein_coding
FBgn0085211	RpS28-like		5740688	5740688	protein_coding
FBgn0031488	Ccdc85	AY060858	33509	33509	protein_coding
FBgn0050462	ste24c	BF491889	3772676	3772676	protein_coding
FBgn0262679	CG43149		12798539	12798539	protein_coding
FBgn0052833	CG32833	AW940917	37650	37650	protein_coding
FBgn0033979	Cyp6a19	AW941506	36662	36662	protein_coding
FBgn0033097	Zip42C.2		35580	35580	protein_coding
FBgn0085397	Fili		5740472	5740472	protein_coding
FBgn0263144	bin3	CZ468529	35552	35552	protein_coding
FBgn0266324	asRNA:CR44989		19836172	19836172	lncRNA
FBgn0261453	scaRNA:MeU2-C41	BK006791	12798055	12798055	sncRNA
FBgn0036188	CG7339	AY118479	39310	39310	protein_coding
FBgn0036677	CG13023	BT021342	39894	39894	protein_coding
FBgn0286033	lncRNA:CR46353		39877395	39877395	lncRNA
FBgn0086347	Myo31DF	CL610162	34445	34445	protein_coding
FBgn0086601	snoRNA:Psi28S-3327c	AJ629276	3771757	3771757	sncRNA
FBgn0020300	geko	AB008048	50263	50263	protein_coding
FBgn0034363	CG5327	AI945224	37138	37138	protein_coding
FBgn0037082	CG5664	AI531537	40371	40371	protein_coding
FBgn0053514	CG33514		3346239	3346239	protein_coding
FBgn0261792	snRNP-U1-C	AI259778	42274	42274	protein_coding
FBgn0052452	CG32452	AY052096	318035	318035	protein_coding
FBgn0051663	CG31663	AI517137	33363	33363	protein_coding
FBgn0040606	CG6503	AY075557	50079	50079	protein_coding
FBgn0037709	CG8199	AW940725	41149	41149	protein_coding
FBgn0030870	CG6398	AY060411	32761	32761	protein_coding
FBgn0051106	CG31106	BI361508	318594	318594	protein_coding
FBgn0267067	lncRNA:CR45511		19834783	19834783	lncRNA
FBgn0034687	CG11475	AI405927	37513	37513	protein_coding
FBgn0034527	CG9945	BF502436	37329	37329	protein_coding
FBgn0033167	CG1701		35661	35661	protein_coding
FBgn0039131	CG12268	AY119109	42833	42833	protein_coding
FBgn0053795	CG33795		3772625	3772625	protein_coding
FBgn0000179	bi	CZ477372	31379	31379	protein_coding
FBgn0032124	CG17855		34269	34269	protein_coding
FBgn0003162	Pu	AF159422	37415	37415	protein_coding
FBgn0000810	fs(1)K10	AA393023	47781	47781	protein_coding
FBgn0013323	Ptth	X98159	33238	33238	protein_coding
FBgn0035279	Cpr62Ba		38239	38239	protein_coding
FBgn0030725	CG8958	CZ482725	32575	32575	protein_coding
FBgn0264996	asRNA:CR44147		14462680	14462680	lncRNA
FBgn0266435	CG45065		19835504	19835504	protein_coding
FBgn0003046	Pcp	BZ748844	33985	33985	protein_coding
FBgn0267686	lncRNA:CR46022		26067343	26067343	lncRNA
FBgn0035139	CG13891	AI945479	38066	38066	protein_coding
FBgn0033214	CG1941	CZ467178	35718	35718	protein_coding
FBgn0259864	Su(Ste):CR42433		7354386	7354386	lncRNA
FBgn0031295	CG4375	AI946023	33278	33278	protein_coding
FBgn0033392	CG8027	BI238544	35943	35943	protein_coding
FBgn0265883	lncRNA:CR44672		19835148	19835148	lncRNA
FBgn0265718	lncRNA:CR44525		19834993	19834993	lncRNA
FBgn0265910	lncRNA:CR44699		19835483	19835483	lncRNA
FBgn0266901	lncRNA:CR45361		19834877	19834877	lncRNA
FBgn0050187	CG30187	BG641110	246509	246509	protein_coding
FBgn0031018	narya	AA950452	32932	32932	protein_coding
FBgn0037777	CG11722	AY070793	41227	41227	protein_coding
FBgn0053834	His1:CG33834		3771911	3771911	protein_coding
FBgn0046685	Wsck	AY058568	318600	318600	protein_coding
FBgn0022942	Cbp80	AA978551	44409	44409	protein_coding
FBgn0034380	Vps51	AW941594	37156	37156	protein_coding
FBgn0259733	tal-AA		7354377	7354377	protein_coding
FBgn0053858	His1:CG33858		3771991	3771991	protein_coding
FBgn0266388	asRNA:CR45028		19835369	19835369	lncRNA
FBgn0267561	lncRNA:CR45901		26067229	26067229	lncRNA
FBgn0029830	Grip	AY075457	50391	50391	protein_coding
FBgn0036868	ms(3)76Ba		40109	40109	protein_coding
FBgn0052274	Drsl1	AY351401	326207	326207	protein_coding
FBgn0040235	c12.1	AW943858	53435	53435	protein_coding
FBgn0004396	CrebA	X64429	39682	39682	protein_coding
FBgn0040817	CG14132	BT021307	50290	50290	protein_coding
FBgn0028532	CG7968	AI260810	34802	34802	protein_coding
FBgn0027594	drpr	CZ488372	38218	38218	protein_coding
FBgn0050360	Mal-A6		246565	246565	protein_coding
FBgn0029856	CG11700	Z32450	31564	31564	protein_coding
FBgn0038993	CG13843	BF506616	42668	42668	protein_coding
FBgn0011566	Smyd3	BI637899	44554	44554	protein_coding
FBgn0262971	lncRNA:CR43282		12798488	12798488	lncRNA
FBgn0031388	CG12674		33384	33384	protein_coding
FBgn0264566	CG43938		14462900	14462900	protein_coding
FBgn0032785	CG10026	AW944188	35226	35226	protein_coding
FBgn0033431	CG1827	AW940986	35989	35989	protein_coding
FBgn0265788	lncRNA:CR44577		19834942	19834942	lncRNA
FBgn0264556	Gr39a	AX058731	117346	117346	protein_coding
FBgn0264273	Sema2b	BI167095	246538	246538	protein_coding
FBgn0262334	mir-992		12798132	12798132	sncRNA
FBgn0039313	CG11892	AI110205	43053	43053	protein_coding
FBgn0004611	Plc21C	AA392668	33204	33204	protein_coding
FBgn0004395	unk	BT021256	42738	42738	protein_coding
FBgn0263510	nclb	BI214877	36150	36150	protein_coding
FBgn0030556	mRNA-cap	AA440643	32379	32379	protein_coding
FBgn0033934	CG17385		36603	36603	protein_coding
FBgn0004574	Rop	X67218	38493	38493	protein_coding
FBgn0052224	asRNA:CR32224		26067083	26067083	lncRNA
FBgn0051201	GluRIIE	BI167541	318623	318623	protein_coding
FBgn0266674	Sec15	BI369294	42499	42499	protein_coding
FBgn0266871	lncRNA:CR45332		19835273	19835273	lncRNA
FBgn0050172	CG30172	BI605299	246496	246496	protein_coding
FBgn0036856	CG9666	CL527900	40096	40096	protein_coding
FBgn0267767	lncRNA:CR46098		26067415	26067415	lncRNA
FBgn0046706	Haspin	AA264550	3355064	3355064	protein_coding
FBgn0039019	HP1c	AY061322	42696	42696	protein_coding
FBgn0086026	snoRNA:Me28S-G2596	AJ784342	5740396	5740396	sncRNA
FBgn0053278	CG33278	AY075343	2768946	2768946	protein_coding
FBgn0010612	ATPsynG	AY070693	46069	46069	protein_coding
FBgn0042119	Cpr65Au	AY118806	59158	59158	protein_coding
FBgn0264360	asRNA:CR43812		14462610	14462610	lncRNA
FBgn0039172	Spase22-23	AY070615	42885	42885	protein_coding
FBgn0033539	Git	AW943022	36122	36122	protein_coding
FBgn0264441	lncRNA:CR43859		14462741	14462741	lncRNA
FBgn0029113	Uba2	AA201817	44496	44496	protein_coding
FBgn0002945	nkd	AA540806	44843	44843	protein_coding
FBgn0035287	CG13937	BI604991	38249	38249	protein_coding
FBgn0266070	lncRNA:CR44823		19834998	19834998	lncRNA
FBgn0011290	Taf12	AI456327	41406	41406	protein_coding
FBgn0262384	mir-1014		12798060	12798060	sncRNA
FBgn0082998	snoRNA:Psi28S-1192d	AJ629205	5740647	5740647	sncRNA
FBgn0035868	CG7194	AA141077	38933	38933	protein_coding
FBgn0040907	mRpL33	AY118791	50381	50381	protein_coding
FBgn0011723	byn	S74163	39349	39349	protein_coding
FBgn0052006	CG32006	AY094883	317817	317817	protein_coding
FBgn0036680	Cpr73D	AI238326	39897	39897	protein_coding
FBgn0283626	lncRNA:CR46299		26067534	26067534	lncRNA
FBgn0054005	CG34005	CX309446	3885597	3885597	protein_coding
FBgn0267816	lncRNA:CR46141		26067457	26067457	lncRNA
FBgn0037747	Naa80	BT001904	41195	41195	protein_coding
FBgn0037751	topi	AY113299	41199	41199	protein_coding
FBgn0039486	CAH9	BI355691	43264	43264	protein_coding
FBgn0259230	lectin-22C	AC004716	7354375	7354375	protein_coding
FBgn0053252	CG33252		2768903	2768903	protein_coding
FBgn0050375	CG30375		246575	246575	protein_coding
FBgn0039228	CG6980	AI113821	42955	42955	protein_coding
FBgn0039073	CG4408	AW943574	42762	42762	protein_coding
FBgn0027779	VhaSFD	AI534532	34997	34997	protein_coding
FBgn0040256	Ugt35C1	AC006491	53507	53507	protein_coding
FBgn0263667	Lpt	AW941080	37795	37795	protein_coding
FBgn0037888	scpr-B	AW940971	41357	41357	protein_coding
FBgn0039404	CG14543	BI485221	43167	43167	protein_coding
FBgn0264905	lncRNA:CR44096		14462501	14462501	lncRNA
FBgn0263133	mEFG1	BI240851	34004	34004	protein_coding
FBgn0029708	CG3556	AW940647	31380	31380	protein_coding
FBgn0033480	mRpL42	BI578265	36050	36050	protein_coding
FBgn0038342	B9d1		41888	41888	protein_coding
FBgn0005674	GluProRS	BH809524	42834	42834	protein_coding
FBgn0034822	RpL37b		37669	37669	protein_coding
FBgn0265791	lncRNA:CR44580		19836227	19836227	lncRNA
FBgn0266229	lncRNA:CR44924		19835584	19835584	lncRNA
FBgn0259842	Su(Ste):CR42411		7354444	7354444	lncRNA
FBgn0011768	Fdh	CZ474244	41311	41311	protein_coding
FBgn0265625	CG44433		37150	37150	protein_coding
FBgn0030344	Nrd1	AI135991	32143	32143	protein_coding
FBgn0265449	lncRNA:CR44349		19835424	19835424	lncRNA
FBgn0030520	Pdcd4	CZ481607	32337	32337	protein_coding
FBgn0005648	Pabp2	AF116341	35788	35788	protein_coding
FBgn0017561	Ork1	CZ486266	32020	32020	protein_coding
FBgn0037917	wkd	BI228866	41390	41390	protein_coding
FBgn0265679	lncRNA:CR44486		19835245	19835245	lncRNA
FBgn0086365	Orct2	AQ025167	42890	42890	protein_coding
FBgn0017567	ND-23	AI945626	44207	44207	protein_coding
FBgn0035398	Cht7	AY051988	38370	38370	protein_coding
FBgn0032549	CG4650	AY119047	34859	34859	protein_coding
FBgn0004552	Akh	L23764	38495	38495	protein_coding
FBgn0020412	JIL-1	CL943552	39241	39241	protein_coding
FBgn0039290	CG13654		43028	43028	protein_coding
FBgn0267208	asRNA:CR45648		19836196	19836196	lncRNA
FBgn0051287	CG31287	BF489375	318663	318663	protein_coding
FBgn0266798	asRNA:CR45260		19834943	19834943	lncRNA
FBgn0036977	CG5665		40243	40243	protein_coding
FBgn0029959	Rab39	BI240737	31684	31684	protein_coding
FBgn0015010	Ag5r	AF037336	44631	44631	protein_coding
FBgn0085361	CG34332		2768895	2768895	protein_coding
FBgn0030054	Caf1-180	AI531469	31801	31801	protein_coding
FBgn0259857	Su(Ste):CR42426		7354460	7354460	lncRNA
FBgn0032420	CG6583	AY071055	34645	34645	protein_coding
FBgn0038577	CG12321	AI258830	42174	42174	protein_coding
FBgn0052240	CG32240	BT001386	317933	317933	protein_coding
FBgn0003415	skd	AQ026277	43906	43906	protein_coding
